school,readingachieve,readingchange,writingachieve,writingchange,mathachieve,mathchange
19186,0.69,-8,0.66,8,0.72,-9
43362,0.47,3,0.41,3,0.29,-15
54542,0.43,-7,0.36,0,0.21,-29
285552,0.83,16,0.58,-9,0.5,-17
93548,0.19,-13,0.22,-13,0.19,-13
161276,0.5,-9,0.25,-21,0.32,-19
165042,0.88,5,0.81,7,0.75,5
227331,0.83,2,0.75,-11,0.67,-14
230561,0.73,23,0.62,-19,0.54,23
237191,0.58,0,0.46,-17,0.5,13
278270,0.57,28,0.43,11,0.5,40
302350,0.5,14,0.2,-7,0.2,-7
195200,0.42,-8,0.33,14,0.42,11
410870,0.62,3,0.19,-40,0.33,-43
434922,0.36,-33,0.18,-44,0.36,-26
442054,0.44,-17,0.56,-14,0.44,-4
462616,0.64,-5,0.44,-40,0.52,-17
468339,0.61,-10,0.72,10,0.61,-10
485497,0.6,4,0.67,-5,0.6,-7
548413,0.93,-3,0.75,-25,0.61,-20
551660,0.35,6,0.2,6,0.3,5
765031,0.82,-9,0.79,-21,0.68,-3
827681,0.82,-13,0.77,-5,0.69,-7
708011,0.64,-2,0.64,-2,0.36,-17
717703,0.69,-31,1.0,10,0.69,-21
719919,0.6,10,0.6,-7,0.35,-15
735523,0.56,10,0.59,-8,0.41,-9
724068,0.81,-3,0.86,2,0.76,-13
773875,0.79,-8,0.74,-19,0.54,-13
742279,0.42,-31,0.25,-48,0.33,-8
746568,0.88,-2,0.91,1,0.85,2
706264,0.7,4,0.58,-17,0.58,-19
756830,0.8,3,1.0,23,0.5,-12
764370,0.81,6,0.62,-21,0.5,17
796220,0.92,44,0.85,11,0.51,-1
815330,0.89,21,0.85,26,0.62,9
830984,0.69,-12,0.63,-18,0.43,-21
823570,0.77,1,0.67,-4,0.64,25
831840,0.55,-20,0.5,-12,0.34,-15
834688,0.59,-2,0.38,-18,0.38,-1
841773,0.88,-12,0.96,-1,0.84,-6
842761,0.46,-40,0.62,-38,0.38,-48
845493,0.66,5,0.68,-7,0.56,7
856150,0.57,-22,0.68,-11,0.36,-38
19313,0.57,-15,0.55,-19,0.53,-8
28673,0.75,-7,0.69,-7,0.46,-20
39306,0.69,-12,0.6,-8,0.63,16
272319,0.82,7,0.73,-12,0.73,3
66699,0.71,21,0.71,7,0.57,21
93718,0.76,20,0.65,9,0.35,-13
112917,0.75,16,0.68,21,0.57,7
145912,0.9,9,0.9,6,0.71,6
175170,0.85,31,0.78,21,0.67,10
190527,0.64,-15,0.77,-2,0.67,-9
478133,0.78,2,0.69,-12,0.61,-15
242527,0.88,27,0.88,23,0.79,22
268003,0.72,-6,0.6,-25,0.56,-14
268640,0.77,12,0.85,-5,0.85,4
273694,0.77,37,0.46,-18,0.49,-3
163619,0.77,10,0.74,18,0.64,3
285535,0.84,-2,0.73,-9,0.73,-4
517103,0.78,16,0.66,19,0.49,7
366021,0.77,1,0.77,-17,0.61,-13
372781,0.36,31,0.36,25,0.2,15
406040,0.67,-16,0.67,-27,0.92,14
459441,0.67,-11,0.71,-9,0.4,-29
578519,0.78,3,0.72,5,0.56,-2
504475,0.68,16,0.75,20,0.5,2
507725,0.76,13,0.62,-12,0.52,-4
523267,0.82,1,1.0,33,0.64,2
528650,0.67,7,0.5,-15,0.54,-6
535508,0.88,17,0.94,2,0.75,0
566667,0.73,-7,0.76,3,0.55,-8
10472,0.47,5,0.73,19,0.53,30
11606,0.87,40,0.8,21,0.67,32
22322,0.77,-14,0.72,-16,0.77,-2
552585,0.82,-5,0.77,-5,0.77,5
340804,0.8,11,0.72,3,0.64,2
67709,0.76,7,0.67,-21,0.52,-17
169200,0.63,3,0.57,-17,0.43,-9
135143,0.72,16,0.44,-4,0.36,-5
167649,0.73,5,0.86,18,0.59,14
293776,0.59,-3,0.45,-20,0.38,-16
524239,0.66,2,0.66,4,0.47,6
281131,0.77,23,0.67,21,0.63,6
253316,0.81,40,0.64,30,0.56,1
257869,0.57,-12,0.65,-12,0.52,-20
262935,0.46,-37,0.31,-30,0.31,-47
291030,0.68,-2,0.66,3,0.58,-15
293750,0.75,12,0.66,3,0.51,-6
198978,0.61,-3,0.39,-12,0.23,-15
364290,0.69,-13,0.69,4,0.62,3
401129,0.84,-16,0.53,-47,0.42,-35
403741,0.82,7,0.67,-12,0.69,-13
93939,0.59,12,0.41,-24,0.35,-18
605743,0.59,-15,0.43,-25,0.22,-36
450910,0.78,6,0.7,2,0.46,-3
484970,0.74,-12,0.81,-5,0.52,-19
155683,0.79,15,0.63,1,0.65,7
531146,0.63,-4,0.66,7,0.5,-9
540200,0.53,-15,0.33,-20,0.4,-7
569565,0.83,23,0.97,46,0.77,14
690015,0.63,-11,0.42,-19,0.26,-17
696900,0.7,-10,0.83,13,0.61,31
714453,0.46,-12,0.5,0,0.29,-6
716960,0.79,-21,0.86,-14,0.57,-25
750259,0.89,18,0.65,0,0.65,30
736481,0.93,16,0.76,-10,0.79,15
739200,0.81,-2,0.73,-7,0.54,-19
749125,0.9,4,0.9,-2,0.7,5
762756,0.94,18,0.94,15,0.82,23
759309,0.84,-11,0.74,-26,0.68,-18
704940,0.8,16,0.55,-12,0.67,16
779067,0.77,-10,0.68,-5,0.59,-14
789984,0.7,-6,0.88,20,0.76,24
793256,0.93,5,0.97,11,0.73,6
810827,0.9,10,0.92,3,0.88,20
818453,0.82,19,0.87,48,0.61,22
831450,0.87,20,0.67,-13,0.4,-20
834963,0.78,0,0.89,6,0.74,9
840556,0.93,17,0.93,22,0.67,-4
844977,0.92,39,0.77,24,0.46,5
846791,0.53,10,0.36,-25,0.36,4
850950,0.82,29,0.71,18,0.82,29
853038,0.56,-32,0.52,-29,0.59,-16
721255,0.81,-19,1.0,0,0.58,-12
711985,0.77,8,0.71,-8,0.45,0
774332,0.84,19,0.73,-4,0.51,-12
751464,0.75,-1,0.75,-6,0.38,-19
705098,0.88,-4,0.5,-42,0.69,-8
732800,0.54,-26,0.54,-31,0.17,-58
689610,0.4,6,0.34,-35,0.2,10
715131,0.83,17,0.83,8,0.61,12
828203,0.88,11,0.88,1,0.75,10
696269,1.0,20,1.0,7,0.8,7
691127,0.93,31,0.93,12,0.86,42
753670,0.72,5,0.83,-2,0.55,4
741361,0.93,36,0.67,-33,0.37,1
750646,0.82,-13,0.75,-14,0.57,-6
759040,0.66,-1,0.47,-26,0.24,-9
758787,0.83,13,0.58,-12,0.42,-8
769312,0.87,11,0.87,16,0.61,8
771651,0.85,29,0.74,5,0.49,11
806102,0.65,15,0.65,-6,0.35,-8
792322,0.92,10,0.58,-24,0.67,-15
803022,0.74,9,0.59,-6,0.41,-6
802700,0.92,16,0.82,17,0.61,4
725374,0.92,21,0.84,1,0.72,5
813907,0.92,7,0.92,-5,0.72,-5
736201,0.76,39,0.55,7,0.48,18
828980,0.72,-6,0.88,21,0.44,-12
830283,0.87,4,0.79,-9,0.55,-24
753602,0.84,25,0.78,10,0.69,34
844713,0.62,12,0.52,14,0.38,7
773450,0.95,7,0.92,1,0.78,9
814555,0.79,13,0.83,36,0.34,-13
23549,0.88,5,0.84,1,0.78,8
199761,0.86,15,0.62,3,0.57,-8
165468,0.9,7,0.86,11,0.93,35
165409,0.79,8,0.68,15,0.68,1
156167,0.92,3,0.81,6,0.88,20
165441,0.91,2,0.82,0,0.78,10
447621,1.0,3,0.95,15,0.93,3
194069,0.85,-7,0.78,-7,0.74,7
497134,0.96,14,0.78,7,0.78,7
165417,0.96,11,0.96,35,0.96,28
282260,0.87,2,0.81,3,0.77,-5
165395,0.69,-27,0.59,-30,0.75,-21
156256,0.85,-2,0.76,0,0.72,-12
419354,0.85,6,0.46,-7,0.54,-14
165450,0.69,-14,0.69,19,0.62,-5
302481,0.93,-7,0.71,-23,0.82,-12
19735,0.96,3,0.81,-9,0.83,-4
191313,0.95,-1,0.78,-4,0.82,18
32247,0.86,19,0.77,18,0.68,5
165000,0.5,-17,0.31,-19,0.44,-14
309192,0.9,-7,0.77,-14,0.74,-5
311090,0.91,-9,0.74,-9,0.83,-11
10340,0.95,27,0.92,29,0.89,26
328910,0.8,-1,0.6,-10,0.5,-13
164941,0.89,54,0.72,7,0.83,48
619655,0.88,1,0.81,0,0.77,-13
165484,0.59,-21,0.41,-7,0.35,-5
165476,0.98,0,0.82,-16,0.88,-7
165425,0.94,-2,0.97,6,0.71,-12
298133,0.94,7,0.94,10,0.88,4
530476,0.82,6,0.65,-6,0.47,-10
629646,0.75,-19,0.31,-57,0.62,-14
426502,0.89,-11,0.84,-16,0.84,-16
789369,0.98,2,0.95,10,0.92,1
694100,0.82,-8,0.8,14,0.6,-14
699764,0.84,-11,0.84,-11,0.87,2
707910,0.82,1,0.76,-5,0.74,-7
707970,0.84,-10,0.77,-12,0.82,-7
722510,0.88,11,0.76,19,0.76,6
837115,0.67,-9,0.56,9,0.44,-44
689705,0.86,0,0.79,-7,0.83,2
795917,0.94,16,0.94,9,0.88,18
705411,0.88,-12,0.72,-12,0.68,-8
733555,0.96,1,1.0,0,0.89,14
690007,0.84,8,0.78,2,0.75,14
729949,1.0,0,0.92,2,0.92,11
737330,0.68,2,0.3,-1,0.43,-5
732080,0.85,-11,0.82,-14,0.76,-20
828752,0.61,-22,0.61,-11,0.44,-45
738166,0.93,6,0.83,-8,0.8,15
738190,0.8,9,0.6,-40,0.67,3
773943,0.89,2,0.56,-21,0.63,-17
705330,0.8,2,0.56,-11,0.68,-8
815640,0.52,-24,0.38,-33,0.43,-28
802662,1.0,4,0.96,7,0.88,-5
800490,0.94,0,0.88,-4,0.88,-4
788438,0.9,13,0.81,1,0.71,11
798223,0.79,4,0.88,13,0.67,-16
810398,0.65,-27,0.47,-24,0.47,-24
841308,0.92,9,0.88,55,0.84,17
694632,0.87,-4,0.68,-15,0.74,-12
837180,0.95,22,0.85,15,0.98,25
845744,0.96,34,1.0,28,0.87,49
842524,0.84,-10,0.65,-19,0.81,-16
848808,0.88,-3,0.69,-20,0.58,-13
690740,0.93,-5,0.81,-17,0.8,-9
862525,0.81,-2,0.7,-9,0.56,-27
730211,0.74,-7,0.39,-28,0.3,-56
822671,0.94,-1,0.91,-9,0.91,-4
838632,0.86,36,0.86,36,0.86,53
773557,0.92,-2,0.82,-9,0.84,-5
822000,0.97,-1,0.86,7,0.81,-15
758965,0.9,-3,0.85,18,0.9,10
861391,0.92,8,0.85,-3,0.77,-11
755532,0.85,6,0.73,-13,0.62,-17
727270,0.75,6,0.67,-5,0.58,-20
568961,0.79,5,0.58,-19,0.32,-39
157325,0.73,-13,0.61,-34,0.61,-20
408735,0.87,15,0.77,-13,0.62,-2
174882,0.8,27,0.63,-1,0.37,-5
67321,0.76,16,0.59,5,0.78,8
199737,0.5,-17,0.45,2,0.4,11
165182,0.87,-2,0.91,-3,0.7,-13
314242,0.55,4,0.55,9,0.48,4
111532,0.88,7,0.76,1,0.41,-21
848662,0.83,-11,0.75,3,0.83,-11
753068,0.64,-12,0.64,-7,0.5,-26
854590,0.69,3,0.52,-3,0.55,14
858366,0.72,7,0.56,-14,0.72,-8
730335,0.63,-7,0.7,0,0.52,-18
781255,0.9,3,0.67,-17,0.6,-21
712592,0.67,4,0.62,12,0.62,-15
753297,0.79,-2,0.75,-6,0.67,-11
754102,0.83,2,0.69,1,0.62,-6
725668,0.71,9,0.57,-5,0.86,17
861367,0.91,14,0.74,-1,0.84,13
737208,0.8,-4,0.73,-4,0.78,-16
707465,0.8,22,0.6,10,0.7,12
750034,0.87,12,0.64,-3,0.72,14
698075,1.0,25,0.78,3,0.96,8
795186,0.84,2,0.79,-12,0.84,-7
798304,0.68,-21,0.59,-25,0.68,-11
799998,0.83,-3,0.73,0,0.7,-16
753840,0.9,3,0.76,-4,0.81,1
813257,0.82,14,0.5,-8,0.77,9
697680,0.96,0,0.77,-15,0.85,-7
841595,0.78,4,0.56,-23,0.72,4
857327,0.91,11,0.78,-5,0.56,-20
857459,0.93,-3,0.89,15,0.96,15
697940,0.78,-12,0.59,-3,0.78,-8
699373,0.84,-16,0.68,-29,0.71,-29
863696,0.93,9,0.93,7,0.89,11
840947,1.0,7,0.7,-20,0.84,-2
860443,0.96,24,0.83,24,1.0,31
787779,0.95,33,0.85,17,0.77,4
