school,notenglish,fromnonenglish,notfrench,fromnonfrench
902344,0,0,100,0
19186,0,0,100,0
43362,10,10,100,10
54542,0,5,100,0
490822,0,0,100,5
137967,0,0,100,0
285552,0,0,100,0
891347,0,0,100,0
93548,0,0,100,0
900869,0,0,100,0
101214,0,0,100,5
161276,0,0,100,0
165042,0,0,100,0
908010,5,0,100,0
186783,0,0,95,0
202614,1,0,100,0
227331,0,0,100,0
230561,0,0,100,0
237191,0,0,100,0
278270,0,0,100,0
302350,0,0,100,5
920533,2,0,100,1
18309,5,0,100,5
926086,5,5,100,0
195200,0,0,100,0
410870,0,0,100,0
434922,5,10,100,10
442054,0,0,100,0
462616,0,5,100,0
468339,0,0,100,0
485497,5,5,100,5
515396,0,0,100,0
530603,0,0,100,0
958050,2,1,99,1
106913,10,0,100,10
548413,0,0,100,0
551660,0,0,100,0
895270,0,0,100,0
953148,0,0,100,5
144872,0,0,100,0
765031,0,0,100,0
827681,10,5,100,5
708011,5,0,100,0
715298,6,1,100,2
717703,0,0,100,5
865257,0,0,100,0
719919,5,0,100,0
735523,0,0,95,0
724068,5,5,100,0
728420,10,5,100,0
773875,5,5,100,0
835099,5,0,100,0
742279,0,0,100,0
746568,0,0,100,0
746690,0,0,100,0
706264,0,0,100,5
752932,9,3,97,3
756830,5,0,100,0
764370,0,0,100,0
868370,0,0,100,0
781142,0,0,100,0
756642,0,5,100,0
796220,0,0,100,0
815330,5,0,100,0
830984,0,0,95,0
823570,0,0,100,5
831840,0,0,100,0
865125,0,0,100,0
834688,4,2,100,2
841773,0,5,100,0
706744,5,0,95,0
842761,5,0,100,0
841358,0,0,100,0
845493,0,0,100,0
851752,2,1,100,1
856150,10,5,100,10
19313,5,0,100,0
893048,10,0,100,0
28673,0,0,100,5
39306,0,5,100,5
272319,0,0,100,0
66699,0,0,100,0
899569,0,0,100,0
93718,5,0,100,0
112917,0,0,100,0
145912,0,0,100,0
175170,0,0,95,0
190527,0,5,100,0
953776,3,0,100,0
181908,0,0,100,0
450242,0,5,100,5
913600,10,0,100,5
478133,2,3,100,3
242527,0,0,100,5
268003,0,0,100,0
268640,0,0,100,0
273694,0,0,100,0
923095,15,1,99,0
163619,5,5,100,0
285535,5,0,100,0
517103,0,0,100,5
366021,5,0,100,0
135064,5,5,100,5
927120,5,0,100,0
372781,80,5,100,10
406040,5,0,100,0
459441,4,2,100,2
578519,10,5,100,5
490040,0,0,100,5
504475,5,0,100,0
507725,5,0,100,0
943118,5,0,100,0
469900,5,5,100,0
523267,0,0,100,0
528650,5,0,100,0
944807,5,0,100,0
100438,0,0,100,0
535508,0,0,100,0
531073,0,5,100,5
945587,9,3,99,3
531090,5,0,100,0
945714,7,1,100,2
566667,3,2,100,3
417556,10,0,100,0
10472,0,0,100,5
11606,0,0,100,0
22322,5,0,100,0
552585,1,1,100,1
340804,10,0,100,0
67709,0,0,100,0
896969,0,0,100,0
169200,0,0,100,0
135143,5,0,100,0
458554,25,0,100,0
331307,3,3,100,2
167649,0,0,100,0
293776,0,0,100,0
524239,0,0,100,0
180789,0,0,100,0
925438,5,0,100,0
914444,3,1,99,1
281131,0,0,100,0
253316,0,0,100,0
152820,20,0,100,0
257168,0,0,100,0
257869,4,2,100,2
262935,0,0,100,0
273775,5,0,100,0
7681,0,0,100,0
915556,2,0,100,0
291030,0,0,100,0
919454,5,2,100,1
293750,5,0,100,0
323900,0,0,100,0
198978,10,0,100,1
364290,0,0,100,0
401129,0,0,100,0
403741,10,0,100,0
93939,45,0,100,0
951692,3,1,100,1
431028,0,0,100,0
605743,0,0,100,0
953253,5,0,100,0
450910,7,2,100,1
484970,0,0,100,0
940127,10,2,99,1
155683,0,0,100,0
531146,0,0,100,0
540200,0,0,100,0
569565,0,0,100,0
950262,0,0,100,0
688088,1,1,100,1
690015,5,0,100,5
696900,0,0,100,5
714453,0,5,100,0
716960,0,0,100,0
720232,3,4,99,3
750259,0,0,100,0
736481,5,0,95,0
739200,0,0,100,5
743968,0,0,100,0
749125,0,0,100,0
753084,5,0,100,0
762756,0,0,100,0
759309,0,0,100,0
751898,4,1,100,1
704940,5,0,100,0
779067,0,0,100,0
782050,5,5,100,5
789984,0,0,95,0
793256,0,0,100,0
810827,4,3,98,3
818453,0,0,100,0
831450,0,0,100,0
834831,0,0,100,0
834963,0,0,100,0
840530,5,0,100,0
840556,10,0,100,5
844977,5,5,100,5
846791,5,0,100,0
850950,0,0,100,0
853038,0,0,100,0
721255,0,0,100,0
711985,0,0,100,0
710296,0,0,100,0
737399,2,0,100,0
759430,2,1,100,0
732133,0,0,100,0
864218,0,0,100,0
774332,0,0,100,5
776602,0,0,100,0
751464,0,0,100,0
776599,2,0,100,0
705098,0,0,100,0
732800,5,0,100,0
689610,0,0,100,0
715131,1,0,99,1
828203,0,0,100,5
821553,20,0,90,0
715190,12,1,92,1
696269,0,0,95,0
691127,5,5,100,0
753670,0,0,95,0
736457,5,0,95,0
697630,0,0,100,0
741361,0,0,100,0
750646,10,0,95,0
759040,5,0,100,5
758787,0,0,100,0
769312,5,0,100,0
771651,5,0,100,0
788686,0,0,100,0
806102,5,0,100,5
751502,10,0,90,0
792365,10,5,85,0
792322,0,0,100,0
791938,0,0,100,0
803022,0,0,100,0
804800,0,0,100,5
802700,0,0,95,5
806277,7,1,96,1
725374,0,0,100,0
813907,5,0,100,0
736201,35,0,70,0
824593,5,0,100,0
828726,0,0,100,0
828874,0,0,100,0
828980,0,0,100,0
830283,0,0,100,0
726176,5,0,100,0
832502,0,0,95,0
832480,0,0,100,0
753602,10,5,100,0
844713,0,0,95,0
773450,0,0,100,0
680764,5,0,100,0
767431,10,0,100,5
803065,0,0,100,0
814555,0,0,100,0
733067,5,0,95,0
773026,0,0,95,0
23549,60,15,60,10
199761,65,0,35,0
165468,60,0,75,0
165409,35,5,80,5
918997,75,10,50,10
117382,70,5,45,5
310415,70,0,50,10
907553,50,0,60,0
910554,40,5,75,0
914723,80,10,55,15
907308,60,10,60,0
907642,75,10,60,10
934852,25,0,70,0
896889,50,0,50,0
925326,60,5,50,0
901037,70,5,50,5
952803,70,10,50,10
961008,90,15,75,10
907588,80,10,50,10
156167,60,0,50,0
165441,55,5,60,5
447621,45,10,60,5
4367,30,10,80,10
194069,60,20,60,15
165212,40,0,75,0
497134,60,5,50,5
572312,70,10,60,10
156264,70,0,50,10
165417,70,10,50,10
282260,75,10,60,10
156183,65,10,60,10
165395,70,10,85,15
156256,40,0,75,0
419354,40,5,70,5
165450,25,0,80,0
302481,45,0,70,0
19735,55,5,50,5
191313,25,0,85,5
32247,40,0,70,0
165000,30,5,80,5
309192,70,10,55,5
442869,20,0,80,0
539105,65,15,60,15
311090,60,0,45,0
480785,75,10,85,10
10340,45,5,80,0
328910,65,5,55,5
157909,60,10,55,15
232544,50,10,70,0
164941,45,0,60,0
619655,55,10,60,10
42108,65,10,60,10
165484,70,20,65,20
165476,50,5,60,5
165425,45,0,60,0
412543,50,0,50,0
298133,50,0,60,0
530476,10,0,90,0
588462,40,0,70,0
298572,90,0,80,0
629646,15,0,80,0
426502,60,10,70,10
186910,75,5,65,5
705128,75,10,40,5
766928,60,5,40,0
705497,50,0,50,0
849732,75,5,35,5
750468,60,0,55,0
739984,50,0,65,0
704997,70,5,30,5
735092,55,0,60,0
781231,70,0,40,0
772491,70,10,45,5
839486,70,0,50,0
683922,70,5,40,10
733458,85,10,30,5
740390,50,0,50,0
846041,80,10,30,10
751073,60,0,50,5
705357,70,0,45,0
706477,80,5,25,0
691950,75,0,35,0
782017,80,0,25,0
790001,80,10,35,10
865368,80,0,35,0
789369,65,5,50,5
694100,55,5,65,0
699764,65,0,40,0
707910,45,0,55,0
707970,60,0,40,0
722510,70,0,40,0
837115,40,0,70,0
689705,65,0,40,5
795917,50,5,70,5
705411,65,0,35,0
733555,50,0,55,0
690007,55,0,50,0
729949,55,0,50,0
737330,65,5,50,10
732080,75,10,40,5
828752,35,0,70,0
738166,55,0,50,5
738190,50,0,55,0
773943,50,0,60,5
705330,60,10,70,10
774642,50,0,50,0
815640,75,0,30,0
802662,40,5,70,0
800490,65,10,60,5
788438,60,0,45,0
798223,70,10,45,5
810398,30,0,70,0
819026,20,0,85,0
841308,60,5,50,10
694632,60,0,55,0
837180,65,5,45,5
845744,75,0,35,5
842524,50,0,65,5
848808,30,0,70,5
861529,60,0,40,0
690740,60,5,45,5
862525,75,10,50,5
730211,60,5,45,0
822671,60,0,65,0
838632,35,0,70,0
773557,65,5,45,5
822000,65,5,45,5
725714,30,0,80,0
758965,40,0,55,0
760021,55,0,50,0
861391,40,5,70,0
755532,65,5,40,10
727270,60,0,40,0
342432,40,0,60,0
568961,60,0,40,0
332100,20,0,80,0
460338,50,0,50,0
242853,70,0,20,0
157325,60,5,40,0
408735,60,5,45,0
282898,60,10,60,10
327425,70,0,40,5
164909,50,0,50,0
174882,65,0,30,0
539197,20,0,85,0
907448,90,0,10,0
907570,70,0,30,0
67321,20,5,75,0
199737,70,0,30,0
165182,70,0,35,0
314242,60,0,45,0
469165,60,0,40,0
156230,30,0,70,0
902306,90,0,10,0
922870,70,0,30,0
918296,90,0,20,0
919055,80,0,20,0
946117,80,0,30,0
909335,60,0,40,0
111532,90,0,10,0
260926,40,0,60,0
848662,90,0,15,0
685011,70,0,30,0
697605,60,0,45,0
710660,85,0,10,0
701580,50,0,50,0
753068,85,0,15,0
854590,75,0,25,0
858366,60,0,35,0
860441,30,0,70,0
730335,75,0,20,0
781255,85,0,15,0
712592,30,0,65,0
718815,80,0,20,0
804392,90,0,5,0
733228,90,0,5,0
770396,95,0,5,0
767894,95,0,5,0
728807,95,0,10,0
723592,70,0,35,0
704920,95,0,0,0
728330,95,0,0,0
725684,80,0,20,0
752908,100,0,0,0
695050,95,0,5,0
752720,95,0,0,0
713740,95,0,5,0
705225,90,0,10,0
698202,90,0,10,0
753297,65,0,30,0
754102,84,0,16,0
725668,55,0,40,0
861367,70,0,30,0
737208,35,0,65,0
707465,55,0,45,0
750034,95,0,5,0
698075,90,0,15,0
766321,90,0,10,0
795186,70,0,25,0
798304,90,0,10,0
799998,90,0,10,0
753840,50,0,50,0
813257,95,0,5,0
697680,90,0,10,0
841595,90,0,5,0
857327,80,0,20,0
857459,100,0,5,0
697940,90,0,10,0
699373,50,0,55,0
863696,91,1,11,0
840947,95,0,10,0
860443,70,0,25,0
738417,40,0,50,0
808440,10,0,80,0
787779,40,0,65,5
860515,40,0,70,10
701718,40,0,60,0
705949,80,0,20,0
686638,90,0,10,0
686760,90,0,15,0
687677,60,5,45,0
687936,50,0,50,0
815377,80,0,10,10
685186,90,0,10,0
707996,60,0,30,0
723290,90,0,5,0
723169,85,0,10,0
805580,90,0,0,0
807796,60,0,35,0
724157,80,0,20,0
798401,95,0,0,0
705322,85,0,20,0
835358,90,0,10,0
785466,55,0,40,0
853291,90,0,10,0
787124,90,0,10,0
794708,80,0,20,0
815985,60,0,30,0
707309,90,0,10,0
819107,95,0,0,0
860310,100,0,0,0
863823,80,0,15,0
698725,90,0,5,0
711110,100,0,5,0
822507,80,0,20,0
864650,78,0,21,0
705020,60,0,40,0
767978,40,0,70,0
705276,85,0,15,0
752550,70,9,52,9
750107,70,10,50,15
752576,80,0,25,0
696030,50,0,55,0
705241,50,0,50,0
752899,85,0,25,0
685986,50,0,50,0
718973,55,0,55,0
751120,80,10,35,10
855949,50,0,60,0
705314,84,1,19,2
705373,70,0,30,0
694827,80,10,40,15
695955,91,16,22,16
705233,79,7,44,7
710903,86,2,20,2
696021,60,0,40,0
750085,60,0,45,0
846435,90,5,20,0
758231,65,0,45,0
832670,66,1,43,1
735632,20,0,75,0
731385,74,2,30,2
705047,80,0,25,0
866248,45,0,50,5
769765,50,2,56,2
705390,74,1,29,1
741671,75,5,30,0
764264,70,10,50,10
703168,80,0,20,5
705055,50,0,50,0
864730,55,10,65,5
701688,90,20,20,15
722901,20,5,80,5
705136,50,5,55,5
696005,43,1,57,0
701670,50,0,50,0
865648,75,5,35,5
725536,70,10,35,10
734314,60,5,50,10
753157,75,15,55,15
705420,50,0,50,0
732397,81,16,32,15
761251,30,5,70,0
735920,75,0,30,0
796656,80,5,30,0
688762,55,0,50,5
705365,65,0,35,5
753203,65,10,55,10
793027,60,10,45,10
701971,80,0,20,0
156159,50,0,50,0
703095,80,0,20,0
752625,50,0,55,5
860573,80,20,40,20
709387,55,5,60,5
861871,67,9,48,9
733402,55,0,60,0
730980,30,0,80,0
709646,70,0,35,0
740845,40,0,55,0
861480,61,10,54,11
703753,80,0,20,0
725633,60,5,55,5
786634,60,0,45,0
698989,88,1,14,2
871029,70,0,25,0
774379,35,0,70,0
809390,30,0,70,0
696048,90,0,10,0
707511,50,0,50,0
704989,20,0,80,0
705004,40,0,70,0
704970,50,0,60,0
771473,90,0,10,0
705110,75,0,25,0
707449,65,0,30,0
738379,60,0,40,0
737070,80,0,20,0
738506,70,0,30,0
754757,45,0,55,0
774480,90,0,10,0
775169,45,0,60,0
786470,90,0,15,5
787329,70,5,30,5
761125,80,0,20,0
806625,40,0,60,0
808180,20,0,80,0
811599,80,0,10,0
705403,30,0,65,0
846449,60,0,40,5
862886,80,0,20,0
762946,80,0,15,0
811173,70,10,30,10
789607,50,0,50,0
705970,70,0,30,0
704717,40,0,75,5
728772,25,0,82,0
708500,55,5,65,5
705438,10,0,90,0
791601,30,0,70,10
707015,20,0,80,0
866569,20,0,80,0
707880,40,0,75,0
708054,30,10,75,10
732400,15,1,91,1
797359,30,0,90,0
695025,40,5,75,5
765865,10,0,90,0
705349,10,0,90,0
768138,10,0,90,0
774901,30,0,80,5
787515,50,10,70,10
791288,30,0,70,0
792187,10,0,80,0
804150,0,0,95,0
715539,30,0,75,0
832626,16,0,94,0
863009,15,0,80,0
845639,5,0,90,0
855375,20,0,80,0
861170,10,0,85,0
730327,20,0,80,0
822540,30,0,80,0
863394,48,9,75,9
863726,10,0,85,0
728659,15,0,90,0
701777,45,10,80,10
761907,10,0,90,0
922609,100,50,30,50
907430,77,8,40,7
912662,86,2,34,2
898582,80,0,20,0
920550,90,35,35,30
907464,60,0,45,0
949540,90,0,10,0
904945,85,5,40,5
901539,70,0,30,0
930144,80,0,50,0
907421,90,10,75,10
488291,80,0,20,0
412597,76,17,73,17
230,45,0,55,0
79839,50,0,45,0
138681,72,6,43,6
417726,75,5,45,5
419796,66,7,48,7
204986,84,19,74,19
215970,80,5,40,5
194239,70,5,40,5
287180,62,2,69,1
196502,70,0,30,0
302864,60,0,50,0
156108,68,6,49,5
439568,25,0,75,0
540030,70,0,50,5
313190,85,0,20,0
323187,85,0,40,5
242420,50,10,65,5
384771,40,5,60,0
164852,85,25,70,25
247352,57,6,67,6
156051,85,30,50,30
327445,62,4,74,4
530457,70,0,75,5
250627,95,0,10,0
156035,85,15,70,10
208944,20,0,85,0
383392,40,2,63,2
195774,85,20,55,20
383376,60,0,45,0
559458,64,3,46,3
590,0,0,100,0
890200,8,0,100,1
505005,20,10,100,10
894109,5,0,100,0
70661,10,5,100,0
73784,5,0,100,0
84700,10,10,100,10
94978,0,0,100,0
105767,10,0,100,0
121754,25,15,100,15
235750,10,0,100,5
547449,10,0,100,0
935455,10,0,100,5
131890,5,0,100,0
139823,0,0,100,0
1793,0,0,100,0
156418,10,0,100,5
906328,1,0,100,1
906972,0,0,100,5
907677,10,3,100,4
165956,0,5,100,0
195596,10,5,100,5
197416,20,15,100,15
326785,24,4,99,4
207810,0,0,100,0
210358,5,0,95,0
218600,0,0,100,5
201138,5,5,100,5
221856,5,1,100,1
914010,4,1,99,1
225754,5,0,95,0
226556,5,0,100,5
228010,15,0,100,0
897646,3,1,100,1
229520,10,5,100,0
914517,3,1,100,0
294037,7,2,100,2
254223,10,5,100,5
281000,5,5,100,0
281654,25,10,100,5
264237,12,2,100,2
1649,2,1,100,1
283991,10,0,100,0
287660,30,7,100,7
304921,0,5,100,0
921750,6,2,100,2
922854,15,5,95,10
313114,30,20,100,20
318086,0,5,100,0
344834,5,0,100,0
352500,0,0,100,0
382868,0,0,100,5
414514,15,10,100,10
414905,5,0,100,0
417521,5,0,100,0
419320,10,0,100,0
433357,0,0,100,0
436747,5,0,100,0
557773,10,5,100,5
514780,10,0,100,0
449350,5,0,100,5
935700,0,0,100,0
451568,0,5,100,0
452084,10,5,100,0
455989,0,0,100,0
456110,15,5,100,0
455075,5,10,100,5
455202,0,5,100,5
457540,0,0,100,5
458066,10,5,100,0
461415,10,0,100,0
483117,6,1,100,1
485365,5,0,100,0
491861,5,0,100,0
505382,2,0,100,1
514748,20,10,100,10
942464,18,4,100,3
517453,10,0,100,0
117722,0,0,100,0
944157,15,8,100,9
529648,5,0,100,0
945064,4,1,100,1
535419,0,0,100,5
536636,5,0,100,0
948055,5,2,100,1
254519,0,0,100,0
569348,5,0,100,5
573507,10,0,100,10
947180,7,3,99,3
156841,0,0,100,0
598984,20,0,100,5
952214,27,5,100,6
602493,0,5,100,5
607436,0,0,100,0
510530,0,0,100,0
581178,0,0,100,0
618870,0,0,100,0
45578,5,0,95,0
