schoolID,phoneNum,name,type,level,language,boardID,city,postCode
902344,705-945-7194,Algoma Education Connection Secondary School,Public,Secondary,English,B28010,Sault Ste Marie,P6B4J4
19186,705-945-7106,Anna McCrea Public School,Public,Elementary,English,B28010,Sault Ste Marie,P6A3M7
67679,705-785-3483,Arthur Henderson Public School,Public,Elementary,English,B28010,Bruce Mines,P0R1C0
43362,705-945-7108,Ben R McMullin Public School,Public,Elementary,English,B28010,Sault Ste Marie,P6B5K2
54542,705-356-7752,Blind River Public School,Public,Elementary,English,B28010,Blind River,P0R1B0
490822,705-945-7149,Boreal French Immersion Public School,Public,Elementary,English,B28010,Sault Ste Marie,P6B4H6
137967,705-782-6263,Central Algoma Intermediate School,Public,Elementary,English,B28010,Desbarats,P0R1E0
285552,705-782-6233,Central Algoma Public School,Public,Elementary,English,B28010,Desbarats,P0R1E0
891347,705-782-6263,Central Algoma Secondary School,Public,Secondary,English,B28010,Desbarats,P0R1E0
93548,705-848-3951,Central Avenue Public School,Public,Elementary,English,B28010,Elliot Lake,P5A2G4
900869,705-864-1452,Chapleau High School,Public,Secondary,English,B28010,Chapleau,P0M1K0
101214,705-864-1170,Chapleau Public School,Public,Elementary,English,B28010,Chapleau,P0M1K0
161276,705-945-7115,East View Public School,Public,Elementary,English,B28010,Sault Ste Marie,P6A4L9
165042,705-248-2271,Echo Bay Central Public School,Public,Elementary,English,B28010,Echo Bay,P0S1C0
908010,705-848-7162,Elliot Lake Secondary School,Public,Secondary,English,B28010,Elliot Lake,P5A1E8
186783,705-848-2601,Esten Park Public School,Public,Elementary,English,B28010,Elliot Lake,P5A3B4
202614,705-945-7136,Francis H Clergue Public School,Public,Elementary,English,B28010,Sault Ste Marie,P6B3C6
227331,705-945-7148,Grand View Public School,Public,Elementary,English,B28010,Sault Ste Marie,P6A5R4
230561,705-945-7118,Greenwood Public School,Public,Elementary,English,B28010,Sault Ste Marie,P6A5K8
237191,705-945-7119,H M Robbins Public School,Public,Elementary,English,B28010,Sault Ste Marie,P6C1X4
917370,807-868-2475,Hornepayne High School,Public,Secondary,English,B28010,Hornepayne,P0M1Z0
264750,807-868-2503,Hornepayne Public School,Public,Elementary,English,B28010,Hornepayne,P0M1Z0
278270,705-945-7120,Isabel Fletcher Public School,Public,Elementary,English,B28010,Sault Ste Marie,P6A6K4
302350,705-945-7124,Kiwedin Public School,Public,Elementary,English,B28010,Sault Ste Marie,P6B2C4
920533,705-945-7180,Korah Collegiate and Vocational School,Public,Secondary,English,B28010,Sault Ste Marie,P6C5A7
18309,705-945-7180,Korah Intermediate School,Public,Elementary,English,B28010,Sault Ste Marie,P6C5A7
926086,705-856-4464,Michipicoten High School,Public,Secondary,English,B28010,Wawa,P0S1K0
368490,705-234-2820,Missarenda Consolidated Public School,Public,Elementary,English,B28010,Missanabie,P0M2H0
948426,705-234-2820,Missarenda Secondary School,Public,Secondary,English,B28010,Missanabie,P0M2H0
195200,705-649-2130,Mountain View Public School,Public,Elementary,English,B28010,Goulais River,P0S1E0
891150,705-848-1088,North Shore Adolescent Education School,Public,Secondary,English,B28010,Elliot Lake,P5A1E8
410870,705-945-7128,Northern Heights Public School,Public,Elementary,English,B28010,Sault Ste Marie,P6B4S8
434922,705-945-7129,Parkland Public School,Public,Elementary,English,B28010,Sault Ste Marie,P6A5G1
442054,705-945-7133,Pinewood Public School,Public,Elementary,English,B28010,Sault Ste Marie,P6A5K9
462616,705-945-7132,Queen Elizabeth Public School,Public,Elementary,English,B28010,Sault Ste Marie,P6A3Z5
468339,705-945-7135,R M Moore Public School,Public,Elementary,English,B28010,Sault Ste Marie,P6A6K4
485497,705-945-7134,River View Public School,Public,Elementary,English,B28010,Sault Ste Marie,P6B1L4
677523,705-844-2168,Rockhaven School forExceptional Children Public School,Public,Elementary,English,B28010,Serpent River,P0P1V0
515396,705-856-2517,Sir James Dunn Public School,Public,Elementary,English,B28010,Wawa,P0S1K0
